time_s_exact,V_first_V,V_second_V,difference_V_second_minus_first_V,difference_delta_Eeq_V,difference_delta_etaMid_V,difference_delta_phiL_V,difference_decomposition_residual_V
0.25,2.2571383599957424,2.2571363890964484,-0.0000019708992940,-0.0000020030738870,3.2638090449E-8,-4.634979E-10,4.51E-16
0.26,2.257668069907268,2.2576661320239255,-0.0000019378833425,-0.0000019696022964,3.2174780176E-8,-4.558265E-10,2.24E-16
0.27,2.258187809655693,2.258185909420604,-0.000001900235089,-0.0000019314185214,3.1630530644E-8,-4.470985E-10,2.56E-16
0.28,2.2586981305552127,2.2586962710182203,-0.0000018595369924,-0.0000018901305091,3.1031198497E-8,-4.376818E-10,3E-18
0.29,2.259199534721425,2.2591977177607343,-0.0000018169606907,-0.0000018469288970,3.0396058112E-8,-4.278520E-10,1.88E-16
0.3,2.2596924810390773,2.259690707664099,-0.0000017733749783,-0.0000018026966889,2.9739513293E-8,-4.178028E-10,1.07E-16
0.31,2.2601773902238405,2.2601756608001176,-0.0000017294237229,-0.0000017580883736,2.9072337202E-8,-4.076866E-10,9.8E-17
0.32,2.2606546491420993,2.2606529635595125,-0.0000016855825868,-0.0000017135875633,2.8402593606E-8,-3.976170E-10,-1.06E-16
0.33,2.261124614518514,2.261122972317755,-0.000001642200759,-0.0000016695493547,2.7736260621E-8,-3.876649E-10,-2.1E-17
0.34,2.261587616134836,2.261586016602967,-0.000001599531869,-0.0000016262317498,2.7077772693E-8,-3.778919E-10,7E-18
0.35,2.2620439596033344,2.262042401846218,-0.0000015577571164,-0.0000015838191387,2.6430362562E-8,-3.683401E-10,-1.62E-16
0.36,2.2624939287822596,2.2624924117796206,-0.0000015170026390,-0.0000015424399614,2.5796356160E-8,-3.590334E-10,-3.60E-16
0.37,2.262937787888605,2.2629363105358915,-0.0000014773527135,-0.0000015021800956,2.5177376187E-8,-3.499942E-10,1.13E-16
0.38,2.263375783353343,2.2633743444935943,-0.0000014388597487,-0.0000014630930351,2.4574508875E-8,-3.412221E-10,-3.75E-16
0.39,2.2638081454567422,2.2638067439047647,-0.0000014015519775,-0.0000014252076755,2.398843923E-8,-3.327411E-10,-1.3E-16
0.4,2.2642350897748025,2.264233724335489,-0.0000013654393135,-0.0000013885343054,2.3419528095E-8,-3.245362E-10,5E-18
0.41,2.264656818462995,2.2646554879450695,-0.0000013305179255,-0.0000013530692050,2.286790046E-8,-3.166210E-10,4E-17
0.42,2.2650735213990822,2.265072224625401,-0.0000012967736812,-0.0000013187982006,2.2333496828E-8,-3.089775E-10,7.2E-17
0.43,2.265485377203598,2.2654841130186862,-0.0000012641849118,-0.0000012856994260,2.1816114474E-8,-3.015999E-10,-3.74E-16
0.44,2.2658925541536257,2.2658913214291525,-0.0000012327244732,-0.0000012537454442,2.1315466060E-8,-2.944948E-10,-2.60E-16
0.45,2.266295211003208,2.2662940086418395,-0.0000012023613685,-0.0000012229049038,2.0831174783E-8,-2.876396E-10,1.17E-16
0.46,2.266693497721871,2.266692324659843,-0.000001173062028,-0.0000011931438116,2.0362821872E-8,-2.810381E-10,-1.72E-16
0.47,2.2670875561609725,2.2670864113697173,-0.0000011447912552,-0.0000011644265227,1.9909937251E-8,-2.746699E-10,1.49E-16
0.48,2.2674775206564077,2.2674764031434163,-0.0000011175129914,-0.0000011367164980,1.9472043538E-8,-2.685373E-10,3.62E-16
0.49,2.267863518574886,2.2678624273840198,-0.0000010911908662,-0.0000011099768885,1.9048642222E-8,-2.626199E-10,-2.2E-17
0.5,2.2682456708101726,2.2682446050215064,-0.0000010657886662,-0.0000010841709719,1.8639226385E-8,-2.569209E-10,2.15E-16
0.51,2.2686240922347265,2.26862305096411,-0.0000010412706165,-0.0000010592624926,1.8243295538E-8,-2.514197E-10,2.62E-16
0.52,2.2689988921116337,2.2689978745099593,-0.0000010176016744,-0.0000010352159054,1.7860352970E-8,-2.461224E-10,4.30E-16
0.53,2.269370174470911,2.2693691797232525,-9.947476585E-7,-0.0000010119965579,1.7489910409E-8,-2.410110E-10,-9E-18
0.54,2.269738038454,2.2697370657785894,-9.726754106E-7,-9.895708167E-7,1.7131482679E-8,-2.360764E-10,-1.79E-16
0.55,2.2701025786295763,2.2701016272767243,-9.513528520E-7,-9.679061549E-7,1.6784615697E-8,-2.313128E-10,3E-18
0.56,2.2704638852836223,2.270462954534546,-9.307490763E-7,-9.469712051E-7,1.6448849391E-8,-2.267204E-10,-1.91E-16
0.57,2.270822044686208,2.270821133851884,-9.10834324E-7,-9.267357936E-7,1.6123750778E-8,-2.222812E-10,2.2E-17
0.58,2.2711771393373095,2.271176247757279,-8.915800305E-7,-9.071709406E-7,1.5808895971E-8,-2.179854E-10,-4.71E-16
0.59,2.2715292481935863,2.271528375234762,-8.729588243E-7,-8.882488671E-7,1.5503888619E-8,-2.138459E-10,8.1E-17
0.6,2.271878446877892,2.271877591933413,-8.54944479E-7,-8.699429684E-7,1.5208328377E-8,-2.098398E-10,8.23E-16
0.61,2.2722248078731444,2.2722239703612304,-8.375119140E-7,-8.522277992E-7,1.4921853971E-8,-2.059686E-10,-1.71E-16
0.62,2.272568400701909,2.272567580064749,-8.20637160E-7,-8.350790377E-7,1.4644096378E-8,-2.022188E-10,1.22E-16
0.63,2.2729092920930043,2.272908487795674,-8.042973303E-7,-8.184734486E-7,1.4374715864E-8,-1.985974E-10,-1.64E-16
0.64,2.273247546136203,2.273246757665647,-7.88470556E-7,-8.023888547E-7,1.4113388683E-8,-1.950900E-10,1.7E-17
0.65,2.2735832244261327,2.273582451290152,-7.731359807E-7,-7.868040865E-7,1.3859796865E-8,-1.916909E-10,-1.65E-16
0.66,2.273916386196209,2.2739156279224915,-7.582737175E-7,-7.716989499E-7,1.3613638657E-8,-1.884063E-10,4.3E-17
0.67,2.27424708844346,2.2742463445786933,-7.438647667E-7,-7.570541776E-7,1.3374626292E-8,-1.852156E-10,2.08E-16
0.68,2.274575386045023,2.2745746561539826,-7.298910404E-7,-7.428513980E-7,1.3142493091E-8,-1.821355E-10,9E-18
0.69,2.2749013318668974,2.2749006155316374,-7.163352600E-7,-7.290730868E-7,1.2916960609E-8,-1.791343E-10,4.91E-16
0.7,2.275224976865683,2.275224273684716,-7.03180967E-7,-7.157025290E-7,1.2697795923E-8,-1.762342E-10,2.77E-16
0.71,2.275546370183765,2.2755456797713096,-6.904124554E-7,-7.027237867E-7,1.2484748570E-8,-1.734177E-10,4.30E-16
0.72,2.2758655592384645,2.2758648812237223,-6.780147422E-7,-6.901216524E-7,1.2277591837E-8,-1.706819E-10,2.63E-16
0.73,2.2761825898056833,2.2761819238321377,-6.659735456E-7,-6.778816223E-7,1.2076107226E-8,-1.680304E-10,-1.26E-16
0.74,2.2764975060983517,2.276496851823128,-6.542752237E-7,-6.659898575E-7,1.1880088470E-8,-1.654544E-10,-2.70E-16
0.75,2.2768103508401625,2.2768097079333844,-6.429067781E-7,-6.544331503E-7,1.1689329725E-8,-1.629574E-10,-1.25E-16
0.76,2.2771211653348513,2.2771205334790747,-6.318557766E-7,-6.431988942E-7,1.1503642481E-8,-1.605247E-10,-1.81E-16
0.77,2.2774299895314263,2.277429368421052,-6.211103743E-7,-6.322750572E-7,1.1322844665E-8,-1.581612E-10,-5.65E-16
0.78,2.277736862085569,2.27773625142632,-6.10659249E-7,-6.216501457E-7,1.114676085E-8,-1.558642E-10,5E-17
0.79,2.27804182041751,2.278041219925913,-6.00491597E-7,-6.113131834E-7,1.0975223617E-8,-1.536371E-10,-1.17E-16
0.8,2.2783449007666072,2.2783443101695293,-5.905970779E-7,-6.012536858E-7,1.0808069767E-8,-1.514623E-10,4.33E-16
0.81,2.278646138242887,2.2786455572770588,-5.809658282E-7,-5.914616304E-7,1.0645153870E-8,-1.493514E-10,-2.70E-16
0.82,2.2789455668756933,2.2789449952872864,-5.715884069E-7,-5.819274380E-7,1.0486324034E-8,-1.472933E-10,3.66E-16
0.83,2.279243219659716,2.2792426572039175,-5.624557985E-7,-5.726419467E-7,1.0331439039E-8,-1.452904E-10,-4.39E-16
0.84,2.279539128598485,2.2795385750391124,-5.535593726E-7,-5.635963979E-7,1.0180367216E-8,-1.433421E-10,1.84E-16
0.85,2.2798333247455713,2.279832779854698,-5.448908733E-7,-5.547824082E-7,1.003297933E-8,-1.414446E-10,1.7E-16
0.86,2.280125838243602,2.2801253018012004,-5.364424016E-7,-5.46191955E-7,9.889149054E-9,-1.395963E-10,6.46E-16
0.87,2.2804166983612393,2.280416170154848,-5.282063913E-7,-5.378173602E-7,9.748760687E-9,-1.377914E-10,-3.87E-16
0.88,2.2807059335282527,2.2807054133526505,-5.201756022E-7,-5.296512679E-7,9.611702548E-9,-1.360364E-10,-4.48E-16
0.89,2.2809935713687994,2.280993059025704,-5.123430954E-7,-5.216866355E-7,9.477866934E-9,-1.343270E-10,1.66E-16
0.9,2.281279638733027,2.2812791340308007,-5.047022263E-7,-5.139167097E-7,9.347140395E-9,-1.326566E-10,-3.95E-16
0.91,2.281564161727097,2.2815636644804824,-4.972466146E-7,-5.063350240E-7,9.219432546E-9,-1.310229E-10,-2.46E-16
0.92,2.2818471657417483,2.2818466757715825,-4.899701658E-7,-4.989353723E-7,9.094642814E-9,-1.294362E-10,-1.14E-16
0.93,2.28212867547942,2.282128192612412,-4.82867008E-7,-4.917118055E-7,8.972679491E-9,-1.278824E-10,4.09E-16
0.94,2.2824087149801175,2.282408239048587,-4.759315305E-7,-4.846586159E-7,8.853455303E-9,-1.263706E-10,6.97E-16
0.95,2.282687307646007,2.28268683848767,-4.69158337E-7,-4.777703259E-7,8.73688433E-9,-1.248956E-10,1.7E-16
0.96,2.2829644762648664,2.282964013722622,-4.625422444E-7,-4.710416762E-7,8.622883517E-9,-1.234517E-10,-1.7E-17
0.97,2.2832402430324272,2.2832397869541396,-4.560782876E-7,-4.644676184E-7,8.511374053E-9,-1.220435E-10,2.47E-16
0.98,2.2835146295736917,2.283514179812009,-4.497616827E-7,-4.580433013E-7,8.402282866E-9,-1.206639E-10,-3.66E-16
0.99,2.28378765696328,2.283787213375431,-4.43587849E-7,-4.517640641E-7,8.295532704E-9,-1.193174E-10,-2.04E-16
1,2.284059345744816,2.284058908192442,-4.37552374E-7,-4.456254292E-7,8.191062050E-9,-1.180068E-10,-5.0E-17
